time,gFx,gFy,gFz,TgF
1.945000,-0.6584,0.3924,0.7883,1.099
1.951000,-0.7094,0.4054,0.7668,1.121
1.957000,-0.7612,0.4049,0.7399,1.136
1.961000,-0.8076,0.3868,0.6923,1.132
1.965000,-0.8476,0.3612,0.6201,1.111
1.979000,-0.8642,0.3338,0.5285,1.067
1.979000,-0.8659,0.3150,0.4643,1.032
1.980000,-0.8576,0.3016,0.4338,1.007
1.985000,-0.8527,0.2948,0.4430,1.005
2.022000,-0.8466,0.2957,0.4816,1.018
2.023000,-0.8591,0.2884,0.5348,1.052
2.023000,-0.8962,0.2767,0.5981,1.112
2.023000,-0.9536,0.2743,0.6577,1.190
2.024000,-0.9980,0.2711,0.7148,1.257
2.024000,-1.0351,0.2743,0.7546,1.310
2.024000,-1.0686,0.2755,0.7614,1.341
2.025000,-1.0967,0.2755,0.7363,1.349
2.028000,-1.1140,0.2603,0.6813,1.332
2.033000,-1.1133,0.2406,0.6159,1.295
2.038000,-1.0974,0.2257,0.5568,1.251
2.043000,-1.0749,0.2318,0.4963,1.206
2.048000,-1.0566,0.2498,0.4301,1.168
2.056000,-1.0469,0.2711,0.3468,1.136
2.060000,-1.0393,0.2845,0.2665,1.110
2.062000,-1.0325,0.3021,0.1994,1.094
2.067000,-1.0215,0.3341,0.1430,1.084
2.073000,-1.0032,0.3717,0.1090,1.075
2.079000,-0.9575,0.4039,0.0958,1.044
2.084000,-0.9004,0.4312,0.0919,1.003
2.094000,-0.8425,0.4566,0.0917,0.963
2.094000,-0.8034,0.4784,0.1085,0.941
2.099000,-0.7724,0.4969,0.1459,0.930
2.101000,-0.7329,0.5118,0.1974,0.915
2.133000,-0.6997,0.5345,0.2499,0.915
2.135000,-0.6682,0.5594,0.3009,0.922
2.135000,-0.6340,0.5829,0.3546,0.931
2.136000,-0.5983,0.5987,0.4135,0.942
2.136000,-0.5715,0.6166,0.4738,0.965
2.136000,-0.5549,0.6376,0.5231,0.994
2.137000,-0.5363,0.6551,0.5622,1.016
2.143000,-0.5090,0.6615,0.5956,1.025
2.146000,-0.4921,0.6468,0.6291,1.028
2.150000,-0.4867,0.6295,0.6550,1.031
2.156000,-0.4833,0.6188,0.6726,1.034
2.160000,-0.4687,0.6175,0.6901,1.038
2.165000,-0.4382,0.6305,0.7089,1.045
2.171000,-0.3927,0.6569,0.7395,1.064
2.175000,-0.3417,0.6820,0.7768,1.089
2.180000,-0.2929,0.7003,0.8061,1.107
2.184000,-0.2560,0.7072,0.8325,1.122
2.189000,-0.2260,0.7057,0.8562,1.132
2.195000,-0.2191,0.7006,0.8718,1.140
2.199000,-0.2353,0.6957,0.8769,1.144
2.217000,-0.2636,0.6901,0.8679,1.140
2.218000,-0.2968,0.6844,0.8398,1.123
2.218000,-0.3337,0.6649,0.8051,1.096
2.247000,-0.3676,0.6442,0.7465,1.052
2.247000,-0.3984,0.6219,0.6953,1.014
2.248000,-0.4323,0.6139,0.6423,0.988
2.248000,-0.4677,0.6178,0.6008,0.980
2.248000,-0.4948,0.6207,0.5825,0.985
2.249000,-0.5107,0.6205,0.5712,0.986
2.249000,-0.5190,0.6066,0.5507,0.970
2.255000,-0.5261,0.5897,0.5324,0.953
2.257000,-0.5419,0.5731,0.5138,0.941
2.262000,-0.5715,0.5597,0.5043,0.946
2.267000,-0.6079,0.5438,0.5092,0.962
2.272000,-0.6494,0.5323,0.5256,0.991
2.277000,-0.6987,0.5123,0.5453,1.024
2.282000,-0.7392,0.4857,0.5744,1.055
