time,gFx,gFy,gFz,TgF
2.166000,6.0496,-5.7706,0.3598,8.368
2.167000,5.6123,-5.6525,0.4704,7.979
2.168000,5.1995,-5.5338,0.6079,7.618
2.169000,4.8220,-5.4208,0.7409,7.293
2.170000,4.4548,-5.2728,0.8352,6.953
2.170000,4.1119,-5.0872,0.9121,6.605
2.175000,3.8106,-4.8926,0.9800,6.278
2.187000,3.5672,-4.7276,1.0679,6.018
2.188000,3.4012,-4.5952,1.1873,5.839
2.189000,3.2549,-4.4761,1.3301,5.692
2.204000,3.1282,-4.3708,1.4807,5.575
2.205000,3.0371,-4.3113,1.6221,5.517
2.206000,2.8962,-4.2952,1.7635,5.472
2.209000,2.7695,-4.2698,1.8641,5.420
2.221000,2.6985,-4.2515,1.9320,5.393
2.222000,2.6028,-4.2556,1.9683,5.363
2.225000,2.4902,-4.3074,1.9268,5.335
2.238000,2.2978,-4.3618,1.7867,5.244
2.239000,2.0944,-4.4570,1.4995,5.148
2.240000,1.8996,-4.6133,1.0525,5.099
2.243000,1.6105,-4.7671,0.5527,5.062
2.247000,1.2086,-4.8528,0.1378,5.003
2.254000,0.7471,-4.8917,-0.0814,4.949
2.257000,0.3364,-4.9014,-0.0946,4.914
2.271000,0.0224,-4.9092,0.0683,4.910
2.272000,-0.1881,-4.9202,0.3488,4.936
2.272000,-0.2950,-4.9476,0.6884,5.004
2.282000,-0.3243,-4.9896,1.0767,5.115
2.283000,-0.3104,-5.0369,1.4773,5.258
2.286000,-0.2987,-5.0648,1.8778,5.410
2.291000,-0.3121,-5.0477,2.2740,5.545
2.296000,-0.3414,-5.0174,2.6217,5.671
2.301000,-0.4022,-4.9883,2.8459,5.757
2.306000,-0.5565,-4.9473,2.9108,5.767
2.312000,-0.8175,-4.8672,2.8410,5.695
2.315000,-1.1286,-4.7566,2.6735,5.572
2.321000,-1.4438,-4.6397,2.4440,5.439
2.325000,-1.7532,-4.5147,2.1791,5.311
2.330000,-2.0313,-4.4087,1.8975,5.212
2.335000,-2.2554,-4.3281,1.6155,5.141
2.340000,-2.4124,-4.2729,1.3777,5.097
2.351000,-2.5399,-4.2275,1.1611,5.067
2.352000,-2.6280,-4.1682,0.9558,5.019
2.355000,-2.6339,-4.1091,0.7746,4.942
2.359000,-2.5267,-4.0617,0.6345,4.825
2.381000,-2.3096,-4.0402,0.5439,4.685
2.382000,-2.1060,-4.0158,0.4679,4.559
2.382000,-1.9839,-4.0329,0.3063,4.505
2.383000,-1.9146,-4.0842,0.0980,4.512
2.384000,-1.8235,-4.1941,-0.1168,4.575
2.389000,-1.6599,-4.3501,-0.3542,4.669
2.393000,-1.3696,-4.4815,-0.6071,4.725
2.398000,-0.9660,-4.5796,-0.8691,4.760
2.404000,-0.4920,-4.6731,-1.1255,4.832
2.408000,0.0622,-4.7886,-1.3369,4.972
2.413000,0.6951,-4.9441,-1.4253,5.192
2.418000,1.2804,-5.1046,-1.3816,5.441
2.423000,1.8102,-5.2240,-1.1914,5.656
2.428000,2.3427,-5.3287,-0.9089,5.891
2.433000,2.9172,-5.3995,-0.5927,6.166
2.438000,3.3948,-5.3868,-0.3180,6.375
2.443000,3.9281,-5.3421,-0.1698,6.633
2.451000,4.7949,-5.3941,-0.1344,7.218
2.453000,5.7742,-5.4691,-0.1100,7.954
2.457000,6.5465,-5.3968,-0.0988,8.485
2.483000,7.1408,-5.1673,-0.1261,8.815
2.484000,7.8447,-4.8143,-0.0577,9.204
2.484000,7.9939,-4.3057,0.2382,9.083
2.485000,7.9939,-3.6347,0.6914,8.809
2.485000,7.9939,-2.7843,1.2688,8.559
2.486000,7.9939,-1.8503,1.7987,8.400
2.491000,7.9939,-0.9662,2.1915,8.345
2.496000,7.9939,-0.1968,2.4620,8.367
2.501000,7.9939,0.3122,2.5531,8.398
2.506000,7.9939,0.5208,2.4513,8.378
2.512000,7.9939,0.7588,2.3041,8.354
2.516000,7.9932,0.9019,1.9786,8.284
2.520000,7.1086,0.9332,1.5191,7.329
2.526000,6.3920,0.9305,1.0825,6.549
2.532000,5.9031,0.9136,0.7233,6.017
2.536000,5.5144,0.9346,0.4123,5.608
2.540000,5.0857,1.0037,0.1159,5.185
2.555000,4.6237,1.0687,-0.1210,4.747
2.557000,4.2179,1.0960,-0.1994,4.363
2.558000,3.9586,1.1236,-0.0941,4.116
2.561000,3.9032,1.1871,0.1413,4.082
2.589000,3.9811,1.2730,0.4338,4.202
2.590000,4.1183,1.3807,0.7712,4.412
2.590000,4.3556,1.5414,1.1074,4.751
2.591000,4.4975,1.7304,1.3096,4.994
2.591000,4.3048,1.8866,1.3252,4.883
2.592000,3.8658,1.9350,1.2046,4.488
2.594000,3.3174,1.9113,1.0515,3.970
2.599000,2.7549,1.8820,0.9509,3.469
2.603000,2.2534,1.8620,0.8967,3.058
2.608000,1.8632,1.8429,0.8701,2.761
2.613000,1.5765,1.8532,0.8613,2.581
2.618000,1.3851,1.8668,0.8496,2.475
2.623000,1.2269,1.8886,0.8354,2.402
2.629000,1.0606,1.9191,0.8061,2.336
2.633000,0.8579,1.9547,0.7639,2.267
2.637000,0.6289,1.9899,0.6867,2.197
2.643000,0.4148,1.9850,0.5590,2.104
2.647000,0.2707,1.9562,0.4206,2.019
2.653000,-0.1822,2.1435,0.4074,2.189
2.657000,-0.3704,2.1257,0.2497,2.172
2.668000,-0.4181,2.0280,0.0866,2.072
2.672000,-0.3353,2.0280,0.0033,2.056
